Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
219,João Pedro,br BRA,"FW,MF",Chelsea,24-106,2001,21,18,1525,16.9,6,3,9,6,0,0,2,0,6.5,6.5,2.8,9.3,39,58,100,0.35,0.18,0.53,0.35,0.53,0.38,0.17,0.55,0.38,0.55,Matches
220,Joelinton,br BRA,MF,Newcastle Utd,29-149,1996,17,15,1226,13.6,2,0,2,2,0,0,5,0,1.3,1.3,1.4,2.6,19,63,53,0.15,0.00,0.15,0.15,0.15,0.09,0.10,0.19,0.09,0.19,Matches
221,John,br BRA,GK,Nott'ham Forest,29-331,1996,5,5,437,4.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
222,Brennan Johnson,wls WAL,"FW,MF",Tottenham,24-232,2001,16,6,610,6.8,2,0,2,2,0,0,2,0,1.0,1.0,0.4,1.4,17,12,40,0.30,0.00,0.30,0.30,0.30,0.15,0.06,0.21,0.15,0.21,Matches
223,Brennan Johnson,wls WAL,MF,Crystal Palace,24-232,2001,2,2,161,1.8,0,0,0,0,0,0,2,0,0.5,0.5,0.2,0.7,6,2,14,0.00,0.00,0.00,0.00,0.00,0.29,0.10,0.39,0.29,0.39,Matches
224,Sam Johnstone,eng ENG,GK,Wolves,32-291,1993,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
225,Curtis Jones,eng ENG,MF,Liverpool,24-345,2001,18,9,972,10.8,0,0,0,0,0,0,1,0,0.8,0.8,1.0,1.8,33,105,37,0.00,0.00,0.00,0.00,0.00,0.08,0.09,0.17,0.08,0.17,Matches
226,Eli Junior Kroupi,fr FRA,"FW,MF",Bournemouth,19-201,2006,16,7,576,6.4,7,0,7,7,0,0,2,0,3.5,3.5,0.4,3.9,7,6,37,1.09,0.00,1.09,1.09,1.09,0.55,0.07,0.62,0.55,0.62,Matches
227,Hamed Junior Traorè,ci CIV,MF,Bournemouth,25-328,2000,1,0,17,0.2,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,0,0,0,0.00,5.29,5.29,0.00,5.29,0.00,1.10,1.10,0.00,1.10,Matches
228,James Justin,eng ENG,"DF,FW",Leeds United,27-321,1998,12,4,437,4.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,11,12,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
229,Filip Jørgensen,dk DEN,GK,Chelsea,23-269,2002,2,1,174,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
230,Ferdi Kadioglu,tr TUR,"DF,FW",Brighton,26-095,1999,20,17,1605,17.8,0,0,0,0,0,0,4,0,0.9,0.9,1.2,2.1,59,79,87,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.12,0.05,0.12,Matches
231,Sasa Kalajdzic,at AUT,FW,Wolves,28-187,1997,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
232,Arnaud Kalimuendo,fr FRA,FW,Nott'ham Forest,23-355,2002,9,0,96,1.1,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.5,5,2,14,0.00,0.00,0.00,0.00,0.00,0.41,0.01,0.42,0.41,0.42,Matches
233,Daichi Kamada,jp JPN,MF,Crystal Palace,29-158,1996,14,14,1164,12.9,0,0,0,0,0,0,1,0,0.9,0.9,1.2,2.1,20,59,39,0.00,0.00,0.00,0.00,0.00,0.07,0.09,0.16,0.07,0.16,Matches
234,Boubacar Kamara,fr FRA,MF,Aston Villa,26-048,1999,18,17,1411,15.7,1,3,4,1,0,0,5,0,0.5,0.5,0.8,1.3,10,86,9,0.06,0.19,0.26,0.06,0.26,0.03,0.05,0.08,0.03,0.08,Matches
235,Mohamadou Kanté,fr FRA,"FW,MF",West Ham,20-112,2005,3,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,2,1,2,0.00,0.00,0.00,0.00,0.00,0.24,0.56,0.80,0.24,0.80,Matches
236,Michael Kayode,it ITA,DF,Brentford,21-184,2004,21,21,1828,20.3,0,0,0,0,0,0,5,0,0.2,0.2,2.1,2.3,39,41,82,0.00,0.00,0.00,0.00,0.00,0.01,0.10,0.11,0.01,0.11,Matches
237,Michael Keane,eng ENG,DF,Everton,32-364,1993,19,19,1676,18.6,3,0,3,3,0,0,0,1,1.6,1.6,0.1,1.7,4,45,5,0.16,0.00,0.16,0.16,0.16,0.09,0.01,0.09,0.09,0.09,Matches
238,Caoimhín Kelleher,ie IRL,GK,Brentford,27-048,1998,21,21,1890,21.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
239,Milos Kerkez,hu HUN,DF,Liverpool,22-064,2003,20,17,1416,15.7,1,0,1,1,0,0,3,0,1.0,1.0,1.0,2.0,29,78,105,0.06,0.00,0.06,0.06,0.06,0.07,0.06,0.13,0.07,0.13,Matches
240,Kevin,br BRA,"FW,MF",Fulham,23-006,2003,17,6,714,7.9,0,1,1,0,0,0,1,0,0.9,0.9,1.0,1.8,51,33,81,0.00,0.13,0.13,0.00,0.13,0.11,0.12,0.23,0.11,0.23,Matches
241,Abdukodir Khusanov,uz UZB,DF,Manchester City,21-315,2004,7,4,382,4.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,10,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
242,Max Kilman,eng ENG,DF,West Ham,28-232,1997,18,17,1534,17.0,0,0,0,0,0,0,4,0,0.6,0.6,0.3,0.9,5,38,1,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
243,Joshua King,eng ENG,"MF,FW",Fulham,19-007,2007,18,11,870,9.7,0,1,1,0,0,0,3,0,1.2,1.2,0.4,1.5,24,28,56,0.00,0.10,0.10,0.00,0.10,0.12,0.04,0.16,0.12,0.16,Matches
244,Justin Kluivert,nl NED,MF,Bournemouth,26-250,1999,18,10,919,10.2,2,0,2,2,0,0,4,0,2.2,2.2,1.5,3.8,21,36,74,0.20,0.00,0.20,0.20,0.20,0.22,0.15,0.37,0.22,0.37,Matches
245,Joe Knight,eng ENG,MF,Brighton,20-111,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
246,Randal Kolo Muani,fr FRA,FW,Tottenham,27-036,1998,14,10,836,9.3,0,0,0,0,0,0,2,0,1.3,1.3,0.8,2.1,16,14,53,0.00,0.00,0.00,0.00,0.00,0.14,0.08,0.23,0.14,0.23,Matches
247,Ibrahima Konaté,fr FRA,DF,Liverpool,26-230,1999,21,21,1786,19.8,0,0,0,0,0,0,5,0,0.8,0.8,0.5,1.4,19,84,2,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07,Matches
248,Ezri Konsa,eng ENG,DF,Aston Villa,28-079,1997,20,20,1775,19.7,0,0,0,0,0,0,0,1,0.4,0.4,0.4,0.8,10,62,5,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
